year,month,payment_system,volume,value,unit,note
2023,October,RTGS,22.35,11899324.4,"volume in million, value in rupees crore",
2023,October,UPI,11408.79,1715768.34,"volume in million, value in rupees crore",
2023,September,BHIM,23.9,7968.07,"volume in million, value in rupees crore",
2023,September,Bharat Bill Pay,107.0,23662.27,"volume in million, value in rupees crore",
2023,September,IMPS,472.9,507497.22,"volume in million, value in rupees crore",
2023,September,Internet Banking,365.03,8219961.79,"volume in million, value in rupees crore",
2023,September,Mobile,10121.46,2434720.68,"volume in million, value in rupees crore",
2023,September,NEFT,0.01,3126189.59,"volume in million, value in rupees crore",
2023,September,RTGS,21.28,12960209.56,"volume in million, value in rupees crore",
2023,September,UPI,10555.69,1579133.18,"volume in million, value in rupees crore",
2023,August,BHIM,24.32,7742.34,"volume in million, value in rupees crore",
2023,August,Bharat Bill Pay,108.35,23568.78,"volume in million, value in rupees crore",
2023,August,IMPS,489.16,514279.53,"volume in million, value in rupees crore",
2023,August,Internet Banking,379.1,8295084.56,"volume in million, value in rupees crore",
2023,August,Mobile,10142.32,2423256.6,"volume in million, value in rupees crore",
2023,August,NEFT,0.01,3134601.65,"volume in million, value in rupees crore",
2023,August,RTGS,21.69,12202746.72,"volume in million, value in rupees crore",
2023,August,UPI,10586.02,1576536.56,"volume in million, value in rupees crore",
2023,July,BHIM,24.66,8201.86,"volume in million, value in rupees crore",
2023,July,Bharat Bill Pay,108.06,23681.23,"volume in million, value in rupees crore",
2023,July,IMPS,489.71,512311.87,"volume in million, value in rupees crore",
2023,July,Internet Banking,393.89,8157864.28,"volume in million, value in rupees crore",
2023,July,Mobile,9334.03,2316953.51,"volume in million, value in rupees crore",
2023,July,NEFT,0.01,3049364.43,"volume in million, value in rupees crore",
2023,July,RTGS,21.07,11615417.32,"volume in million, value in rupees crore",
2023,July,UPI,9964.61,1533536.44,"volume in million, value in rupees crore",
2023,June,BHIM,22.9,7258.64,"volume in million, value in rupees crore",
2023,June,Bharat Bill Pay,102.53,21463.62,"volume in million, value in rupees crore",
2023,June,IMPS,468.1,500481.23,"volume in million, value in rupees crore",
2023,June,Internet Banking,356.63,8354717.17,"volume in million, value in rupees crore",
2023,June,Mobile,8809.77,2243152.3,"volume in million, value in rupees crore",
2023,June,NEFT,0.01,3039490.65,"volume in million, value in rupees crore",
2023,June,RTGS,21.11,12739932.11,"volume in million, value in rupees crore",
2023,June,UPI,9335.06,1475464.26,"volume in million, value in rupees crore",
2023,May,BHIM,22.8,7189.16,"volume in million, value in rupees crore",
2023,May,Bharat Bill Pay,105.36,20021.65,"volume in million, value in rupees crore",
2023,May,IMPS,499.98,525810.13,"volume in million, value in rupees crore",
2023,May,Internet Banking,359.9,7800962.35,"volume in million, value in rupees crore",
2023,May,Mobile,8710.07,2268478.87,"volume in million, value in rupees crore",
2023,May,NEFT,0.0,3026330.56,"volume in million, value in rupees crore",
2023,May,RTGS,21.92,11413320.96,"volume in million, value in rupees crore",
2023,May,UPI,9415.19,1489145.44,"volume in million, value in rupees crore",
2023,April,BHIM,23.61,7349.81,"volume in million, value in rupees crore",
2023,April,Bharat Bill Pay,98.92,17123.04,"volume in million, value in rupees crore",
2023,April,IMPS,495.8,521050.26,"volume in million, value in rupees crore",
2023,April,Internet Banking,340.61,7036658.28,"volume in million, value in rupees crore",
2023,April,Mobile,8335.72,2154812.61,"volume in million, value in rupees crore",
2023,April,NEFT,0.0,2761038.29,"volume in million, value in rupees crore",
2023,April,RTGS,20.04,10452024.05,"volume in million, value in rupees crore",
2023,April,UPI,8863.26,1415504.71,"volume in million, value in rupees crore",
2023,March,BHIM,23.53,7480.69,"volume in million, value in rupees crore",
2023,March,Bharat Bill Pay,111.53,18536.23,"volume in million, value in rupees crore",
2023,March,IMPS,497.06,546235.62,"volume in million, value in rupees crore",
2023,March,Internet Banking,387.95,8981726.92,"volume in million, value in rupees crore",
2023,March,Mobile,8164.87,2250093.73,"volume in million, value in rupees crore",
2023,March,NEFT,0.01,3750569.41,"volume in million, value in rupees crore",
2023,March,RTGS,24.67,14416322.43,"volume in million, value in rupees crore",
2023,March,UPI,8685.3,1410443.01,"volume in million, value in rupees crore",
2023,February,BHIM,23.06,7140.91,"volume in million, value in rupees crore",
2023,February,Bharat Bill Pay,96.23,16301.09,"volume in million, value in rupees crore",
2023,February,IMPS,447.82,468647.1,"volume in million, value in rupees crore",
2023,February,Internet Banking,331.9,7380903.67,"volume in million, value in rupees crore",
2023,February,Mobile,7254.29,1930128.81,"volume in million, value in rupees crore",
2023,February,NEFT,0.0,2775971.89,"volume in million, value in rupees crore",
2023,February,RTGS,19.94,10566198.18,"volume in million, value in rupees crore",
2023,February,UPI,7534.76,1235846.62,"volume in million, value in rupees crore",
2023,January,BHIM,24.79,8145.17,"volume in million, value in rupees crore",
2023,January,Bharat Bill Pay,100.14,16798.5,"volume in million, value in rupees crore",
2023,January,IMPS,474.51,477592.02,"volume in million, value in rupees crore",
2023,January,Internet Banking,354.47,7327328.18,"volume in million, value in rupees crore",
2023,January,Mobile,7594.78,1962894.91,"volume in million, value in rupees crore",
2023,January,NEFT,0.0,2810179.96,"volume in million, value in rupees crore",
2023,January,RTGS,20.3,11028450.5,"volume in million, value in rupees crore",
2023,January,UPI,8036.89,1298726.62,"volume in million, value in rupees crore",
2022,December,BHIM,25.31,8379.11,"volume in million, value in rupees crore",
2022,December,Bharat Bill Pay,99.68,16910.36,"volume in million, value in rupees crore",
2022,December,IMPS,485.84,486552.12,"volume in million, value in rupees crore",
2022,December,Internet Banking,366.2,8544691.61,"volume in million, value in rupees crore",
2022,December,Mobile,7441.58,1991762.77,"volume in million, value in rupees crore",
2022,December,NEFT,0.0,2981681.17,"volume in million, value in rupees crore",
2022,December,RTGS,21.38,12180091.05,"volume in million, value in rupees crore",
2022,December,UPI,7829.49,1282055.01,"volume in million, value in rupees crore",
2022,November,BHIM,24.83,8125.93,"volume in million, value in rupees crore",
2022,November,Bharat Bill Pay,94.97,16585.41,"volume in million, value in rupees crore",
2022,November,IMPS,463.48,454678.64,"volume in million, value in rupees crore",
2022,November,Internet Banking,348.61,7786126.76,"volume in million, value in rupees crore",
2022,November,Mobile,7018.84,1874436.45,"volume in million, value in rupees crore",
2022,November,NEFT,0.0,2730878.35,"volume in million, value in rupees crore",
2022,November,RTGS,20.53,10691727.02,"volume in million, value in rupees crore",
2022,November,UPI,7309.45,1190593.39,"volume in million, value in rupees crore",
2022,October,BHIM,25.36,8508.14,"volume in million, value in rupees crore",
2022,October,Bharat Bill Pay,94.06,16473.52,"volume in million, value in rupees crore",
2022,October,IMPS,482.46,466081.76,"volume in million, value in rupees crore",
2022,October,Internet Banking,361.91,7172840.42,"volume in million, value in rupees crore",
2022,October,Mobile,7032.87,1876993.39,"volume in million, value in rupees crore",
2022,October,NEFT,0.0,2726827.1,"volume in million, value in rupees crore",
2022,October,RTGS,18.92,10015711.49,"volume in million, value in rupees crore",
2022,October,UPI,7305.42,1211582.51,"volume in million, value in rupees crore",
2022,September,BHIM,25.02,8291.78,"volume in million, value in rupees crore",
2022,September,Bharat Bill Pay,89.01,16450.29,"volume in million, value in rupees crore",
2022,September,IMPS,462.69,455056.84,"volume in million, value in rupees crore",
2022,September,Internet Banking,357.64,8423480.65,"volume in million, value in rupees crore",
2022,September,Mobile,6566.05,1791833.92,"volume in million, value in rupees crore",
2022,September,NEFT,0.0,2922912.81,"volume in million, value in rupees crore",
2022,September,RTGS,19.71,12094321.25,"volume in million, value in rupees crore",
2022,September,UPI,6780.8,1116438.1,"volume in million, value in rupees crore",
2022,August,BHIM,24.83,7843.39,"volume in million, value in rupees crore",
2022,August,Bharat Bill Pay,87.46,16085.33,"volume in million, value in rupees crore",
2022,August,IMPS,466.91,445988.96,"volume in million, value in rupees crore",
2022,August,Internet Banking,352.92,7342636.42,"volume in million, value in rupees crore",
2022,August,Mobile,6531.32,1742249.75,"volume in million, value in rupees crore",
2022,August,NEFT,0.0,2631639.01,"volume in million, value in rupees crore",
2022,August,RTGS,18.69,10274479.6,"volume in million, value in rupees crore",
2022,August,UPI,6579.63,1072792.68,"volume in million, value in rupees crore",
2022,July,BHIM,24.32,7806.3,"volume in million, value in rupees crore",
2022,July,Bharat Bill Pay,85.84,16217.56,"volume in million, value in rupees crore",
2022,July,IMPS,460.83,444540.95,"volume in million, value in rupees crore",
2022,July,Internet Banking,375.65,7387328.25,"volume in million, value in rupees crore",
2022,July,Mobile,6143.8,1699579.51,"volume in million, value in rupees crore",
2022,July,NEFT,0.0,2627353.96,"volume in million, value in rupees crore",
2022,July,RTGS,18.81,9927090.96,"volume in million, value in rupees crore",
2022,July,UPI,6288.4,1062991.76,"volume in million, value in rupees crore",
2022,June,BHIM,22.5,7515.5,"volume in million, value in rupees crore",
2022,June,Bharat Bill Pay,82.12,15153.94,"volume in million, value in rupees crore",
2022,June,IMPS,455.7,443776.03,"volume in million, value in rupees crore",
2022,June,Internet Banking,357.22,8264386.5,"volume in million, value in rupees crore",
2022,June,Mobile,5596.54,1631824.02,"volume in million, value in rupees crore",
2022,June,NEFT,0.0,2716012.88,"volume in million, value in rupees crore",
2022,June,RTGS,19.32,10840908.94,"volume in million, value in rupees crore",
2022,June,UPI,5862.75,1014384.31,"volume in million, value in rupees crore",
2022,May,BHIM,26.47,9545.76,"volume in million, value in rupees crore",
2022,May,Bharat Bill Pay,82.07,13824.11,"volume in million, value in rupees crore",
2022,May,IMPS,484.81,452328.1,"volume in million, value in rupees crore",
2022,May,Internet Banking,301.51,5707943.66,"volume in million, value in rupees crore",
2022,May,Mobile,5789.62,1672651.06,"volume in million, value in rupees crore",
2022,May,NEFT,0.0,2546927.61,"volume in million, value in rupees crore",
2022,May,RTGS,19.45,9851273.85,"volume in million, value in rupees crore",
2022,May,UPI,5955.2,1041520.07,"volume in million, value in rupees crore",
2022,April,BHIM,25.6,8342.24,"volume in million, value in rupees crore",
2022,April,Bharat Bill Pay,74.12,11324.11,"volume in million, value in rupees crore",
2022,April,IMPS,471.62,444669.88,"volume in million, value in rupees crore",
2022,April,Internet Banking,367.08,7219902.95,"volume in million, value in rupees crore",
2022,April,Mobile,5399.27,1607179.21,"volume in million, value in rupees crore",
2022,April,NEFT,0.0,2498586.9,"volume in million, value in rupees crore",
2022,April,RTGS,19.41,9780600.28,"volume in million, value in rupees crore",
2022,April,UPI,5583.05,983302.27,"volume in million, value in rupees crore",
2022,March,BHIM,24.79,8038.24,"volume in million, value in rupees crore",
2022,March,Bharat Bill Pay,71.32,11467.46,"volume in million, value in rupees crore",
2022,March,IMPS,492.0,462278.8,"volume in million, value in rupees crore",
2022,March,Internet Banking,391.54,8839998.09,"volume in million, value in rupees crore",
2022,March,Mobile,5163.63,1573995.41,"volume in million, value in rupees crore",
2022,March,NEFT,0.0,3492578.21,"volume in million, value in rupees crore",
2022,March,RTGS,22.87,13069668.93,"volume in million, value in rupees crore",
2022,March,UPI,5405.65,960581.66,"volume in million, value in rupees crore",
2022,February,BHIM,23.18,7881.56,"volume in million, value in rupees crore",
2022,February,Bharat Bill Pay,62.45,9974.5,"volume in million, value in rupees crore",
2022,February,IMPS,420.93,384404.01,"volume in million, value in rupees crore",
2022,February,Mobile,0.04,132.81,"volume in million, value in rupees crore",
